motivo_desaparicion_obs,tipology,category
ACADEMICO/ESCOLAR (RENDIMIENTO),VOLUNTARIA,PROBLEMAS SOCIALES
ACCIDENTADO,INVOLUNTARIA,ACCIDENTES
ACCIDENTAL,INVOLUNTARIA,ACCIDENTES
ACCIDENTAL POR DESCUIDO,INVOLUNTARIA,ACCIDENTES
ACOSO/VIOLENCIA SEXUAL,FORZOSA,AMBITO DELICTIVO
ALCOHOLISMO,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
ALZHEIMER,INVOLUNTARIA,DETERIORO COGNITIVO
ASESINATO,FORZOSA,AMBITO DELICTIVO
ASPERGER,VOLUNTARIA,PROBLEMAS FAMILIARES
AUTISMO,VOLUNTARIA,PROBLEMAS FAMILIARES
BAJO RENDIMIENTO,VOLUNTARIA,PROBLEMAS SOCIALES
BIPOLARIDAD,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
BULLYING (MALTRATO ESCOLAR),VOLUNTARIA,PROBLEMAS SOCIALES
CERRADO POR FISCALIA / DELITO REFORMULADO,FORZOSA,AMBITO DELICTIVO
CIRCUNSTANCIAL,INVOLUNTARIA,ACCIDENTES
DELINCUENCIA,VOLUNTARIA,AUSENCIA INTENCIONADA
DEPRESION,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
DETENCION,FORZOSA,AMBITO DELICTIVO
DETENIDO,FORZOSA,AMBITO DELICTIVO
DEUDAS,VOLUNTARIA,AUSENCIA INTENCIONADA
DISCAPACIDAD FISICA,INVOLUNTARIA,ACCIDENTES
DISCAPACIDAD INTELECTUAL,INVOLUNTARIA,ACCIDENTES
DISCAPACIDAD PSICOSOCIAL,INVOLUNTARIA,ACCIDENTES
DROGADICCION,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
FAMILIA DISFUNSIONAL,VOLUNTARIA,PROBLEMAS FAMILIARES
FEMICIDIO,FORZOSA,AMBITO DELICTIVO
GRUPOS DELICTIVOS ORGANIZADOS/GDOS/PANDILLAS/MAFIAS/CARTELES,FORZOSA,AMBITO DELICTIVO
HOMICIDIO,FORZOSA,AMBITO DELICTIVO
HOMICIDIO ASESINATO,FORZOSA,AMBITO DELICTIVO
HOSPITALIZADO,INVOLUNTARIA,ACCIDENTES
INFLUENCIA DE AMISTADES,VOLUNTARIA,AUSENCIA INTENCIONADA
JUICIOS DE ALIMENTOS,VOLUNTARIA,AUSENCIA INTENCIONADA
MALTRATO FISICO,VOLUNTARIA,PROBLEMAS FAMILIARES
MALTRATO INSTITUCIONAL,VOLUNTARIA,PROBLEMAS SOCIALES
MALTRATO PATRIMONIAL,VOLUNTARIA,PROBLEMAS FAMILIARES
MALTRATO PSICOLOGICO,VOLUNTARIA,PROBLEMAS FAMILIARES
MALTRATO SEXUAL,VOLUNTARIA,PROBLEMAS FAMILIARES
MIGRACION,VOLUNTARIA,AUSENCIA INTENCIONADA
MIGRACION /MOVILIDAD HUMANA,VOLUNTARIA,AUSENCIA INTENCIONADA
MUERTE NATURAL,INVOLUNTARIA,ACCIDENTES
NINOS NINAS PERDIDOS,FORZOSA,SUSTRACCION DE PERSONAS
NO DETERMINADA,FORZOSA,AMBITO DELICTIVO
NO RELACIONADOS A VIOLENCIA,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
OTRAS ENFERMEDADES MENTALES,INVOLUNTARIA,DETERIORO COGNITIVO
PANDILLAS,VOLUNTARIA,AUSENCIA INTENCIONADA
PERSONA EXTRAVIADA,FORZOSA,SUSTRACCION DE PERSONAS
PROBLEMAS DE CONDUCTA,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
PROBLEMAS SENTIMENTALES,VOLUNTARIA,PROBLEMAS FAMILIARES
RELACION AFECTIVA,VOLUNTARIA,PROBLEMAS FAMILIARES
RETARDOS MENTALES,INVOLUNTARIA,DETERIORO COGNITIVO
ROBO(ESCOPOLAMINA U OTRA DROGA ALUCINOGENA ALTAMENTE TOXICA),VOLUNTARIA,PROBLEMAS FAMILIARES
SECUESTRO EXTORSIVO,FORZOSA,AMBITO DELICTIVO
SECUESTRO EXTORSIVO (CON RESULTDADO DE MUERTE),FORZOSA,AMBITO DELICTIVO
SINDROME DE DOWN,INVOLUNTARIA,DETERIORO COGNITIVO
SUICIDIO,VOLUNTARIA,PROBLEMAS PSICOLOGICOS
VIOLENCIA FISICA,VOLUNTARIA,PROBLEMAS FAMILIARES
VIOLENCIA PSICOLOGICA,VOLUNTARIA,PROBLEMAS FAMILIARES
